time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,0.89283,0.89341,0.89218,0.89325,0.89503,0.8951,0.89355,0.89381
2024-04-07T22:00:00Z,0.89326,0.89378,0.8932,0.89364,0.89387,0.89416,0.89338,0.89381
2024-04-07T23:00:00Z,0.89359,0.89407,0.89354,0.89369,0.89375,0.89424,0.89372,0.89388
2024-04-08T00:00:00Z,0.89368,0.89386,0.89275,0.89298,0.89386,0.89404,0.89294,0.89314
2024-04-08T01:00:00Z,0.89297,0.89417,0.89288,0.89387,0.89312,0.89436,0.89305,0.89403
2024-04-08T02:00:00Z,0.89389,0.89497,0.89362,0.89477,0.89403,0.89515,0.89378,0.89497
2024-04-08T03:00:00Z,0.89477,0.89497,0.89361,0.89429,0.89496,0.89513,0.8938,0.89445
2024-04-08T04:00:00Z,0.89429,0.89479,0.89425,0.89478,0.89446,0.89495,0.89443,0.89495
2024-04-08T05:00:00Z,0.89479,0.8951,0.89448,0.89475,0.89497,0.89527,0.89466,0.89492
2024-04-08T06:00:00Z,0.89479,0.89527,0.89455,0.8952,0.89496,0.89543,0.89471,0.89536
2024-04-08T07:00:00Z,0.89516,0.89534,0.89493,0.89514,0.89532,0.89551,0.89508,0.8953
2024-04-08T08:00:00Z,0.89514,0.89521,0.89448,0.89471,0.89528,0.89537,0.89463,0.89487
2024-04-08T09:00:00Z,0.89473,0.89529,0.89465,0.89524,0.89488,0.89545,0.89481,0.89539
2024-04-08T10:00:00Z,0.89523,0.89569,0.89512,0.89539,0.8954,0.89585,0.89528,0.89557
2024-04-08T11:00:00Z,0.89545,0.89567,0.89526,0.89547,0.89562,0.89583,0.89543,0.89563
2024-04-08T12:00:00Z,0.89548,0.89565,0.89471,0.89534,0.89563,0.8958,0.89489,0.89552
2024-04-08T13:00:00Z,0.89536,0.89771,0.89533,0.89761,0.89552,0.89788,0.8955,0.89778
2024-04-08T14:00:00Z,0.89761,0.89783,0.89638,0.89656,0.89776,0.898,0.89654,0.89672
2024-04-08T15:00:00Z,0.89659,0.89686,0.89632,0.89669,0.89676,0.89703,0.89647,0.89684
2024-04-08T16:00:00Z,0.89666,0.8969,0.89632,0.89649,0.89683,0.89708,0.89649,0.89665
2024-04-08T17:00:00Z,0.89651,0.89688,0.89639,0.89673,0.89665,0.89704,0.89657,0.8969
2024-04-08T18:00:00Z,0.89673,0.8969,0.89638,0.89661,0.89689,0.89708,0.89654,0.89676
2024-04-08T19:00:00Z,0.89661,0.89674,0.89647,0.89653,0.89678,0.8969,0.89664,0.8967
2024-04-08T20:00:00Z,0.89656,0.89659,0.8961,0.8963,0.8967,0.89677,0.89629,0.89647
2024-04-08T21:00:00Z,0.89595,0.89646,0.89585,0.89615,0.897,0.89725,0.89637,0.8965
2024-04-08T22:00:00Z,0.89612,0.89636,0.89608,0.89615,0.89645,0.89665,0.89627,0.89632
2024-04-08T23:00:00Z,0.89616,0.89657,0.89614,0.8963,0.89631,0.89675,0.89629,0.89648
2024-04-09T00:00:00Z,0.8963,0.8967,0.89596,0.89639,0.89646,0.89688,0.89616,0.89657
2024-04-09T01:00:00Z,0.8964,0.89723,0.89616,0.89685,0.89656,0.89743,0.89635,0.89701
2024-04-09T02:00:00Z,0.8968,0.89731,0.89668,0.89699,0.89696,0.89748,0.89684,0.89715
2024-04-09T03:00:00Z,0.897,0.89706,0.89633,0.89662,0.89715,0.89723,0.89649,0.89677
2024-04-09T04:00:00Z,0.89662,0.89749,0.89661,0.89723,0.89678,0.89765,0.89678,0.89738
2024-04-09T05:00:00Z,0.89721,0.89747,0.89685,0.89694,0.89737,0.89763,0.89704,0.89711
2024-04-09T06:00:00Z,0.89694,0.89702,0.89598,0.8961,0.89712,0.89718,0.89616,0.89628
2024-04-09T07:00:00Z,0.8961,0.89686,0.89602,0.89683,0.89625,0.89703,0.89617,0.89698
2024-04-09T08:00:00Z,0.89682,0.89735,0.89671,0.8973,0.89698,0.89754,0.89686,0.89748
2024-04-09T09:00:00Z,0.89734,0.89832,0.8971,0.8983,0.8975,0.89847,0.89725,0.89846
2024-04-09T10:00:00Z,0.89829,0.89859,0.89816,0.8985,0.89844,0.89877,0.89832,0.89866
2024-04-09T11:00:00Z,0.89849,0.89891,0.89843,0.8986,0.89867,0.89911,0.89861,0.89878
2024-04-09T12:00:00Z,0.8986,0.90007,0.89845,0.89955,0.89877,0.9002,0.89861,0.89972
2024-04-09T13:00:00Z,0.89956,0.90041,0.89934,0.90032,0.89971,0.90058,0.89949,0.90046
2024-04-09T14:00:00Z,0.90031,0.90065,0.8993,0.90012,0.90047,0.90082,0.89948,0.90028
2024-04-09T15:00:00Z,0.90011,0.90023,0.89922,0.89924,0.90025,0.90039,0.89935,0.89935
2024-04-09T16:00:00Z,0.89922,0.89944,0.89892,0.89908,0.89935,0.89959,0.89906,0.89923
2024-04-09T17:00:00Z,0.89906,0.8992,0.89869,0.89912,0.89923,0.89938,0.89886,0.89928
2024-04-09T18:00:00Z,0.89912,0.89927,0.89904,0.89927,0.89929,0.89942,0.89918,0.89941
2024-04-09T19:00:00Z,0.89922,0.89941,0.89898,0.89932,0.8994,0.89959,0.89914,0.89947
2024-04-09T20:00:00Z,0.89932,0.89956,0.89911,0.89949,0.89949,0.89972,0.89926,0.8997
2024-04-09T21:00:00Z,0.89895,0.89949,0.89877,0.89938,0.9006,0.9006,0.89953,0.8997
2024-04-09T22:00:00Z,0.89937,0.89958,0.8993,0.89951,0.89972,0.89984,0.89948,0.89967
2024-04-09T23:00:00Z,0.89954,0.89978,0.8995,0.89956,0.8997,0.89994,0.89965,0.89975
2024-04-10T00:00:00Z,0.89955,0.89971,0.89894,0.89899,0.89975,0.89988,0.89909,0.89915
2024-04-10T01:00:00Z,0.89897,0.8992,0.89801,0.8984,0.89915,0.8994,0.89818,0.89866
2024-04-10T02:00:00Z,0.8984,0.89882,0.89785,0.89867,0.89865,0.89898,0.89802,0.89883
2024-04-10T03:00:00Z,0.89867,0.8992,0.89857,0.89858,0.89882,0.89936,0.89874,0.89877
2024-04-10T04:00:00Z,0.89853,0.89866,0.89821,0.8984,0.89872,0.89883,0.89837,0.89857
2024-04-10T05:00:00Z,0.8984,0.89894,0.89829,0.89833,0.89858,0.89913,0.89845,0.89848
2024-04-10T06:00:00Z,0.89833,0.89876,0.89816,0.89861,0.8985,0.89891,0.89831,0.89876
2024-04-10T07:00:00Z,0.89856,0.89873,0.89821,0.89855,0.89874,0.89889,0.89838,0.89872
2024-04-10T08:00:00Z,0.8986,0.89884,0.89808,0.89872,0.89876,0.89901,0.89825,0.89886
