time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,0.6569,0.65739,0.65671,0.65714,0.65807,0.65807,0.65735,0.65739
2024-04-07T22:00:00Z,0.65725,0.6575,0.65672,0.65701,0.65742,0.65772,0.65686,0.65714
2024-04-07T23:00:00Z,0.657,0.6575,0.65677,0.65693,0.65711,0.65763,0.65688,0.65705
2024-04-08T00:00:00Z,0.65692,0.65692,0.65589,0.65603,0.65705,0.65705,0.656,0.65615
2024-04-08T01:00:00Z,0.65602,0.65745,0.65595,0.65735,0.65613,0.65757,0.65608,0.65749
2024-04-08T02:00:00Z,0.65736,0.65883,0.65715,0.65858,0.65749,0.65895,0.65728,0.65869
2024-04-08T03:00:00Z,0.65855,0.65868,0.65695,0.65748,0.65866,0.65879,0.65706,0.65761
2024-04-08T04:00:00Z,0.65749,0.65786,0.65733,0.65786,0.65761,0.65798,0.65745,0.65797
2024-04-08T05:00:00Z,0.65789,0.6583,0.65753,0.65778,0.65801,0.65842,0.65767,0.65791
2024-04-08T06:00:00Z,0.6578,0.65832,0.65763,0.65822,0.65792,0.65844,0.65775,0.65833
2024-04-08T07:00:00Z,0.65822,0.65872,0.65781,0.65844,0.65834,0.65885,0.65792,0.65855
2024-04-08T08:00:00Z,0.65848,0.65873,0.6577,0.65797,0.65859,0.65885,0.65782,0.65809
2024-04-08T09:00:00Z,0.65797,0.65854,0.65779,0.6584,0.6581,0.65866,0.65791,0.65852
2024-04-08T10:00:00Z,0.65839,0.65903,0.65821,0.65898,0.6585,0.65915,0.65832,0.65909
2024-04-08T11:00:00Z,0.65898,0.65905,0.65851,0.65862,0.6591,0.65916,0.65863,0.65873
2024-04-08T12:00:00Z,0.6586,0.65925,0.65832,0.65918,0.65873,0.65937,0.65843,0.65929
2024-04-08T13:00:00Z,0.65922,0.66096,0.65922,0.66078,0.65933,0.66107,0.65933,0.66091
2024-04-08T14:00:00Z,0.66074,0.66074,0.65965,0.66004,0.66086,0.66086,0.65977,0.66016
2024-04-08T15:00:00Z,0.66007,0.66044,0.65982,0.66006,0.6602,0.66056,0.65994,0.66018
2024-04-08T16:00:00Z,0.66006,0.66007,0.65958,0.66,0.66019,0.66019,0.65971,0.66012
2024-04-08T17:00:00Z,0.66003,0.66071,0.65993,0.66048,0.66014,0.66083,0.66004,0.6606
2024-04-08T18:00:00Z,0.66048,0.66076,0.66026,0.66042,0.66061,0.66087,0.66038,0.66053
2024-04-08T19:00:00Z,0.66042,0.66063,0.66027,0.66032,0.66054,0.66075,0.66038,0.66044
2024-04-08T20:00:00Z,0.66032,0.66039,0.66021,0.66037,0.66043,0.66054,0.66034,0.66053
2024-04-08T21:00:00Z,0.66025,0.66046,0.66006,0.66014,0.66056,0.66065,0.66022,0.66035
2024-04-08T22:00:00Z,0.66014,0.66048,0.66014,0.66036,0.66038,0.66063,0.66038,0.6605
2024-04-08T23:00:00Z,0.66035,0.66074,0.66035,0.66046,0.66048,0.66085,0.66048,0.66058
2024-04-09T00:00:00Z,0.66045,0.66081,0.66011,0.66044,0.66058,0.66094,0.66022,0.66056
2024-04-09T01:00:00Z,0.66043,0.6612,0.66007,0.66053,0.66056,0.66133,0.66019,0.66064
2024-04-09T02:00:00Z,0.6605,0.6611,0.66029,0.66046,0.66063,0.66122,0.66042,0.6606
2024-04-09T03:00:00Z,0.66046,0.66054,0.65982,0.66011,0.66058,0.66066,0.65995,0.66023
2024-04-09T04:00:00Z,0.66011,0.66112,0.66011,0.66079,0.66024,0.66123,0.66024,0.66091
2024-04-09T05:00:00Z,0.6608,0.66107,0.66055,0.66065,0.66091,0.66119,0.66067,0.66076
2024-04-09T06:00:00Z,0.66062,0.66093,0.65981,0.65989,0.66075,0.66105,0.65992,0.66001
2024-04-09T07:00:00Z,0.65988,0.66044,0.65982,0.66044,0.65999,0.66056,0.65994,0.66055
