time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,111.447,111.508,111.443,111.496,111.652,111.668,111.544,111.562
2024-04-07T22:00:00Z,111.495,111.559,111.469,111.518,111.553,111.599,111.511,111.538
2024-04-07T23:00:00Z,111.515,111.535,111.456,111.488,111.535,111.555,111.481,111.511
2024-04-08T00:00:00Z,111.481,111.485,111.405,111.449,111.503,111.507,111.423,111.47
2024-04-08T01:00:00Z,111.45,111.619,111.432,111.61,111.468,111.639,111.451,111.63
2024-04-08T02:00:00Z,111.613,111.702,111.593,111.694,111.633,111.721,111.613,111.715
2024-04-08T03:00:00Z,111.693,111.697,111.554,111.569,111.713,111.72,111.575,111.59
2024-04-08T04:00:00Z,111.571,111.596,111.553,111.592,111.592,111.616,111.573,111.611
2024-04-08T05:00:00Z,111.591,111.638,111.564,111.578,111.612,111.659,111.584,111.597
2024-04-08T06:00:00Z,111.578,111.666,111.568,111.577,111.598,111.686,111.588,111.596
2024-04-08T07:00:00Z,111.58,111.723,111.569,111.703,111.598,111.743,111.589,111.723
2024-04-08T08:00:00Z,111.703,111.757,111.636,111.703,111.722,111.774,111.653,111.723
2024-04-08T09:00:00Z,111.7,111.748,111.67,111.687,111.72,111.766,111.69,111.706
2024-04-08T10:00:00Z,111.684,111.756,111.646,111.749,111.704,111.778,111.666,111.77
2024-04-08T11:00:00Z,111.747,111.781,111.704,111.726,111.767,111.802,111.725,111.747
2024-04-08T12:00:00Z,111.726,111.819,111.709,111.808,111.745,111.84,111.729,111.83
2024-04-08T13:00:00Z,111.81,111.865,111.687,111.696,111.83,111.884,111.706,111.716
2024-04-08T14:00:00Z,111.693,111.77,111.616,111.756,111.715,111.789,111.635,111.775
2024-04-08T15:00:00Z,111.758,111.818,111.699,111.724,111.775,111.838,111.718,111.744
2024-04-08T16:00:00Z,111.718,111.793,111.681,111.774,111.737,111.813,111.7,111.794
2024-04-08T17:00:00Z,111.776,111.796,111.733,111.779,111.796,111.815,111.755,111.798
2024-04-08T18:00:00Z,111.781,111.811,111.757,111.786,111.799,111.829,111.777,111.806
2024-04-08T19:00:00Z,111.782,111.836,111.776,111.821,111.802,111.855,111.795,111.841
2024-04-08T20:00:00Z,111.82,111.889,111.82,111.866,111.841,111.914,111.841,111.894
2024-04-08T21:00:00Z,111.771,111.844,111.754,111.819,111.939,111.939,111.844,111.858
2024-04-08T22:00:00Z,111.815,111.855,111.807,111.855,111.853,111.889,111.85,111.876
2024-04-08T23:00:00Z,111.857,111.894,111.857,111.874,111.876,111.918,111.876,111.896
2024-04-09T00:00:00Z,111.873,111.928,111.833,111.914,111.898,111.951,111.852,111.934
2024-04-09T01:00:00Z,111.914,111.916,111.858,111.861,111.935,111.939,111.878,111.88
2024-04-09T02:00:00Z,111.863,111.863,111.796,111.819,111.882,111.882,111.817,111.837
2024-04-09T03:00:00Z,111.819,111.825,111.777,111.79,111.839,111.846,111.797,111.808
2024-04-09T04:00:00Z,111.792,111.87,111.791,111.859,111.811,111.891,111.809,111.877
2024-04-09T05:00:00Z,111.855,111.876,111.833,111.866,111.875,111.896,111.851,111.888
2024-04-09T06:00:00Z,111.864,111.912,111.84,111.86,111.886,111.931,111.86,111.88
2024-04-09T07:00:00Z,111.861,111.89,111.83,111.855,111.879,111.91,111.851,111.874
2024-04-09T08:00:00Z,111.854,111.897,111.818,111.895,111.874,111.917,111.836,111.914
2024-04-09T09:00:00Z,111.894,111.938,111.836,111.908,111.911,111.958,111.856,111.927
2024-04-09T10:00:00Z,111.909,111.95,111.846,111.878,111.927,111.97,111.864,111.9
2024-04-09T11:00:00Z,111.881,111.883,111.798,111.826,111.901,111.905,111.817,111.847
2024-04-09T12:00:00Z,111.825,111.9,111.785,111.872,111.844,111.919,111.805,111.892
2024-04-09T13:00:00Z,111.871,111.983,111.839,111.873,111.892,112.002,111.859,111.894
