time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,168.05,168.05,168.05,168.05,168.11,168.11,168.11,168.11
2024-04-07T22:00:00Z,168.073,168.107,167.748,167.877,168.185,168.3,167.784,167.902
2024-04-07T23:00:00Z,167.873,167.963,167.85,167.921,167.897,167.987,167.877,167.948
2024-04-08T00:00:00Z,167.92,167.936,167.804,167.813,167.948,167.964,167.829,167.835
2024-04-08T01:00:00Z,167.808,167.941,167.788,167.903,167.833,167.967,167.806,167.924
2024-04-08T02:00:00Z,167.903,168.139,167.903,168.135,167.926,168.164,167.926,168.161
2024-04-08T03:00:00Z,168.132,168.142,167.921,167.936,168.156,168.164,167.943,167.955
2024-04-08T04:00:00Z,167.936,167.965,167.843,167.9,167.959,167.991,167.865,167.924
2024-04-08T05:00:00Z,167.9,168.014,167.876,167.973,167.921,168.039,167.9,167.992
2024-04-08T06:00:00Z,167.973,168.07,167.844,167.885,167.988,168.091,167.869,167.903
2024-04-08T07:00:00Z,167.883,168.011,167.829,167.85,167.903,168.031,167.85,167.871
2024-04-08T08:00:00Z,167.85,167.919,167.658,167.717,167.872,167.941,167.677,167.742
2024-04-08T09:00:00Z,167.717,167.776,167.661,167.687,167.743,167.798,167.685,167.707
2024-04-08T10:00:00Z,167.683,167.702,167.602,167.635,167.703,167.727,167.626,167.654
2024-04-08T11:00:00Z,167.635,167.723,167.575,167.592,167.656,167.743,167.597,167.617
2024-04-08T12:00:00Z,167.591,167.844,167.568,167.835,167.613,167.865,167.589,167.851
2024-04-08T13:00:00Z,167.837,167.885,167.689,167.736,167.855,167.902,167.71,167.759
2024-04-08T14:00:00Z,167.737,167.775,167.529,167.761,167.759,167.795,167.55,167.779
2024-04-08T15:00:00Z,167.761,167.869,167.659,167.676,167.778,167.891,167.682,167.699
2024-04-08T16:00:00Z,167.672,167.696,167.588,167.646,167.699,167.716,167.609,167.668
2024-04-08T17:00:00Z,167.646,167.779,167.551,167.758,167.667,167.798,167.573,167.782
2024-04-08T18:00:00Z,167.758,167.79,167.707,167.709,167.78,167.81,167.728,167.729
2024-04-08T19:00:00Z,167.71,167.761,167.688,167.718,167.729,167.781,167.709,167.739
2024-04-08T20:00:00Z,167.719,167.725,167.652,167.704,167.739,167.754,167.675,167.737
2024-04-08T21:00:00Z,167.552,167.701,167.552,167.646,167.852,167.947,167.705,167.732
2024-04-08T22:00:00Z,167.651,167.666,167.599,167.642,167.731,167.748,167.626,167.666
2024-04-08T23:00:00Z,167.633,167.769,167.633,167.749,167.656,167.792,167.656,167.774
2024-04-09T00:00:00Z,167.753,167.8,167.645,167.751,167.776,167.826,167.666,167.771
2024-04-09T01:00:00Z,167.751,167.847,167.705,167.765,167.772,167.872,167.728,167.787
2024-04-09T02:00:00Z,167.766,167.829,167.725,167.826,167.79,167.847,167.746,167.843
2024-04-09T03:00:00Z,167.827,167.842,167.786,167.797,167.846,167.862,167.808,167.819
2024-04-09T04:00:00Z,167.796,167.851,167.789,167.847,167.819,167.873,167.81,167.87
2024-04-09T05:00:00Z,167.85,167.943,167.832,167.925,167.87,167.965,167.855,167.953
2024-04-09T06:00:00Z,167.929,167.991,167.873,167.915,167.954,168.011,167.892,167.939
2024-04-09T07:00:00Z,167.912,167.96,167.797,167.834,167.932,167.98,167.822,167.855
2024-04-09T08:00:00Z,167.843,167.92,167.79,167.915,167.864,167.942,167.804,167.932
2024-04-09T09:00:00Z,167.918,168.07,167.825,168.022,167.938,168.099,167.855,168.043
2024-04-09T10:00:00Z,168.025,168.152,167.972,168.145,168.047,168.173,167.993,168.167
2024-04-09T11:00:00Z,168.145,168.206,167.948,167.986,168.17,168.223,167.966,168.003
2024-04-09T12:00:00Z,167.985,168.297,167.933,168.261,168.004,168.32,167.958,168.278
2024-04-09T13:00:00Z,168.258,168.377,168.113,168.159,168.278,168.397,168.137,168.179
2024-04-09T14:00:00Z,168.153,168.251,167.715,167.831,168.175,168.272,167.739,167.848
2024-04-09T15:00:00Z,167.831,168.003,167.81,167.969,167.851,168.022,167.831,167.988
2024-04-09T16:00:00Z,167.969,168.035,167.846,167.868,167.99,168.056,167.87,167.888
2024-04-09T17:00:00Z,167.864,167.892,167.82,167.838,167.883,167.914,167.841,167.856
2024-04-09T18:00:00Z,167.837,167.936,167.83,167.921,167.856,167.958,167.85,167.944
2024-04-09T19:00:00Z,167.916,167.99,167.847,167.953,167.939,168.01,167.867,167.975
2024-04-09T20:00:00Z,167.954,167.995,167.943,167.962,167.973,168.019,167.966,168.001
2024-04-09T21:00:00Z,167.965,167.993,167.737,167.897,168.012,168.159,167.984,168.052
2024-04-09T22:00:00Z,167.892,168.007,167.892,167.996,168.051,168.093,167.954,168.022
2024-04-09T23:00:00Z,167.998,168.065,167.984,168.053,168.022,168.089,168.009,168.078
2024-04-10T00:00:00Z,168.056,168.06,167.92,167.943,168.08,168.085,167.943,167.963
2024-04-10T01:00:00Z,167.943,168.012,167.844,167.885,167.965,168.037,167.868,167.908
2024-04-10T02:00:00Z,167.885,167.969,167.842,167.949,167.906,167.989,167.863,167.973
2024-04-10T03:00:00Z,167.951,167.974,167.877,167.904,167.973,167.992,167.902,167.927
2024-04-10T04:00:00Z,167.904,167.932,167.87,167.922,167.929,167.953,167.896,167.944
2024-04-10T05:00:00Z,167.922,167.989,167.909,167.943,167.945,168.013,167.933,167.966
2024-04-10T06:00:00Z,167.949,167.99,167.895,167.98,167.969,168.009,167.916,168.007
2024-04-10T07:00:00Z,167.984,168.128,167.886,167.986,168.007,168.151,167.908,168.009
2024-04-10T08:00:00Z,167.989,168.076,167.953,168.029,168.015,168.101,167.973,168.05
2024-04-10T09:00:00Z,168.034,168.118,168.007,168.044,168.053,168.144,168.027,168.06
2024-04-10T10:00:00Z,168.036,168.06,167.945,168.007,168.054,168.081,167.967,168.028
2024-04-10T11:00:00Z,168.001,168.091,167.949,168.034,168.023,168.111,167.972,168.053
2024-04-10T12:00:00Z,168.028,168.199,167.308,167.628,168.049,168.338,167.327,167.652
2024-04-10T13:00:00Z,167.635,167.642,167.3,167.407,167.658,167.67,167.333,167.431
2024-04-10T14:00:00Z,167.407,167.622,167.314,167.516,167.435,167.642,167.334,167.534
2024-04-10T15:00:00Z,167.516,167.593,167.45,167.507,167.535,167.616,167.47,167.529
2024-04-10T16:00:00Z,167.504,167.51,167.281,167.281,167.529,167.537,167.304,167.305
2024-04-10T17:00:00Z,167.28,167.595,167.218,167.503,167.305,167.624,167.242,167.559
2024-04-10T18:00:00Z,167.502,167.547,167.361,167.428,167.561,167.58,167.382,167.448
2024-04-10T19:00:00Z,167.424,167.545,167.372,167.481,167.446,167.567,167.394,167.503
2024-04-10T20:00:00Z,167.48,167.813,167.453,167.745,167.497,167.851,167.474,167.798
2024-04-10T21:00:00Z,167.619,167.751,167.441,167.54,167.899,168.033,167.59,167.693
2024-04-10T22:00:00Z,167.541,167.617,167.492,167.524,167.701,167.711,167.521,167.553
2024-04-10T23:00:00Z,167.526,167.583,167.426,167.476,167.553,167.608,167.457,167.5
2024-04-11T00:00:00Z,167.475,167.481,167.33,167.356,167.5,167.508,167.356,167.379
2024-04-11T01:00:00Z,167.359,167.433,167.3,167.359,167.377,167.464,167.318,167.385
2024-04-11T02:00:00Z,167.359,167.455,167.338,167.413,167.384,167.474,167.36,167.441
2024-04-11T03:00:00Z,167.412,167.565,167.406,167.556,167.439,167.588,167.43,167.575
2024-04-11T04:00:00Z,167.557,167.585,167.495,167.539,167.581,167.609,167.52,167.561
2024-04-11T05:00:00Z,167.541,167.618,167.527,167.577,167.56,167.64,167.55,167.602
2024-04-11T06:00:00Z,167.574,167.574,167.443,167.469,167.591,167.591,167.467,167.49
2024-04-11T07:00:00Z,167.468,167.614,167.439,167.573,167.49,167.634,167.465,167.594
2024-04-11T08:00:00Z,167.58,167.763,167.576,167.683,167.601,167.785,167.598,167.702
2024-04-11T09:00:00Z,167.683,167.779,167.646,167.725,167.699,167.802,167.665,167.741
2024-04-11T10:00:00Z,167.725,167.86,167.61,167.792,167.743,167.883,167.629,167.814
2024-04-11T11:00:00Z,167.79,167.903,167.646,167.694,167.815,167.923,167.663,167.715
2024-04-11T12:00:00Z,167.691,168.469,167.608,168.161,167.711,168.487,167.63,168.186
2024-04-11T13:00:00Z,168.159,168.27,168.034,168.1,168.185,168.294,168.054,168.127
2024-04-11T14:00:00Z,168.097,168.216,167.942,168.193,168.12,168.236,167.964,168.21
2024-04-11T15:00:00Z,168.19,168.269,168.097,168.19,168.209,168.291,168.121,168.209
