time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,164.279,164.286,164.213,164.267,164.429,164.436,164.306,164.367
2024-04-07T22:00:00Z,164.268,164.377,164.204,164.249,164.37,164.414,164.229,164.273
2024-04-07T23:00:00Z,164.249,164.294,164.221,164.264,164.271,164.316,164.241,164.281
2024-04-08T00:00:00Z,164.264,164.323,164.182,164.25,164.282,164.343,164.202,164.267
2024-04-08T01:00:00Z,164.25,164.464,164.231,164.447,164.266,164.483,164.249,164.467
2024-04-08T02:00:00Z,164.45,164.53,164.415,164.523,164.467,164.549,164.433,164.541
2024-04-08T03:00:00Z,164.523,164.536,164.383,164.414,164.54,164.554,164.402,164.429
2024-04-08T04:00:00Z,164.413,164.455,164.392,164.419,164.43,164.473,164.41,164.435
2024-04-08T05:00:00Z,164.418,164.493,164.415,164.453,164.435,164.512,164.434,164.47
2024-04-08T06:00:00Z,164.453,164.5,164.401,164.407,164.468,164.517,164.417,164.428
2024-04-08T07:00:00Z,164.411,164.564,164.398,164.501,164.429,164.581,164.414,164.52
2024-04-08T08:00:00Z,164.501,164.54,164.378,164.408,164.519,164.558,164.397,164.428
2024-04-08T09:00:00Z,164.409,164.485,164.355,164.439,164.427,164.504,164.374,164.457
2024-04-08T10:00:00Z,164.434,164.493,164.416,164.483,164.455,164.51,164.437,164.502
2024-04-08T11:00:00Z,164.483,164.514,164.411,164.427,164.501,164.534,164.431,164.443
2024-04-08T12:00:00Z,164.427,164.552,164.391,164.543,164.442,164.569,164.408,164.561
2024-04-08T13:00:00Z,164.543,164.694,164.543,164.655,164.564,164.714,164.56,164.674
2024-04-08T14:00:00Z,164.657,164.814,164.617,164.763,164.672,164.833,164.633,164.779
2024-04-08T15:00:00Z,164.763,164.842,164.683,164.722,164.78,164.86,164.701,164.741
2024-04-08T16:00:00Z,164.721,164.749,164.677,164.737,164.741,164.768,164.697,164.753
2024-04-08T17:00:00Z,164.738,164.817,164.691,164.785,164.753,164.836,164.71,164.804
2024-04-08T18:00:00Z,164.785,164.813,164.745,164.776,164.803,164.833,164.763,164.793
2024-04-08T19:00:00Z,164.774,164.84,164.753,164.837,164.793,164.86,164.771,164.853
2024-04-08T20:00:00Z,164.833,164.898,164.83,164.878,164.849,164.942,164.846,164.92
2024-04-08T21:00:00Z,164.835,164.882,164.776,164.855,164.959,164.971,164.867,164.899
2024-04-08T22:00:00Z,164.852,164.869,164.825,164.86,164.895,164.899,164.847,164.882
2024-04-08T23:00:00Z,164.86,164.945,164.86,164.915,164.881,164.965,164.881,164.935
2024-04-09T00:00:00Z,164.914,164.953,164.851,164.942,164.935,164.973,164.869,164.96
2024-04-09T01:00:00Z,164.941,164.974,164.901,164.939,164.961,164.992,164.919,164.957
2024-04-09T02:00:00Z,164.938,164.943,164.844,164.882,164.957,164.962,164.865,164.9
2024-04-09T03:00:00Z,164.883,164.889,164.823,164.84,164.9,164.905,164.841,164.858
2024-04-09T04:00:00Z,164.841,164.913,164.835,164.895,164.858,164.931,164.852,164.913
2024-04-09T05:00:00Z,164.894,164.93,164.883,164.919,164.913,164.947,164.899,164.935
2024-04-09T06:00:00Z,164.923,164.982,164.837,164.851,164.938,165.001,164.855,164.872
2024-04-09T07:00:00Z,164.852,164.979,164.833,164.857,164.872,164.998,164.853,164.877
2024-04-09T08:00:00Z,164.861,164.916,164.788,164.905,164.881,164.933,164.805,164.924
2024-04-09T09:00:00Z,164.905,164.981,164.821,164.967,164.923,164.999,164.836,164.988
2024-04-09T10:00:00Z,164.967,165.02,164.932,164.984,164.985,165.038,164.951,165.002
2024-04-09T11:00:00Z,164.983,165.037,164.871,164.899,165.003,165.056,164.89,164.92
2024-04-09T12:00:00Z,164.901,165.167,164.884,165.128,164.921,165.186,164.903,165.147
2024-04-09T13:00:00Z,165.128,165.166,165.051,165.097,165.146,165.185,165.069,165.118
2024-04-09T14:00:00Z,165.098,165.107,164.537,164.647,165.118,165.126,164.554,164.666
2024-04-09T15:00:00Z,164.648,164.722,164.612,164.708,164.666,164.739,164.631,164.724
2024-04-09T16:00:00Z,164.705,164.753,164.605,164.623,164.722,164.77,164.625,164.64
