time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,191.281,191.482,191.279,191.434,191.696,191.703,191.539,191.577
2024-04-07T22:00:00Z,191.457,191.601,191.428,191.46,191.597,191.66,191.466,191.486
2024-04-07T23:00:00Z,191.46,191.51,191.413,191.468,191.489,191.538,191.444,191.499
2024-04-08T00:00:00Z,191.468,191.478,191.362,191.392,191.498,191.506,191.391,191.422
2024-04-08T01:00:00Z,191.393,191.669,191.378,191.647,191.42,191.698,191.403,191.676
2024-04-08T02:00:00Z,191.646,191.795,191.614,191.79,191.676,191.821,191.643,191.821
2024-04-08T03:00:00Z,191.792,191.816,191.635,191.683,191.821,191.845,191.665,191.71
2024-04-08T04:00:00Z,191.682,191.728,191.652,191.694,191.71,191.755,191.68,191.722
2024-04-08T05:00:00Z,191.694,191.765,191.661,191.703,191.723,191.794,191.691,191.729
2024-04-08T06:00:00Z,191.704,191.8,191.653,191.69,191.728,191.827,191.678,191.713
2024-04-08T07:00:00Z,191.69,191.789,191.595,191.759,191.714,191.816,191.623,191.786
2024-04-08T08:00:00Z,191.761,191.833,191.658,191.723,191.785,191.857,191.682,191.744
2024-04-08T09:00:00Z,191.722,191.825,191.631,191.748,191.744,191.853,191.66,191.777
2024-04-08T10:00:00Z,191.748,191.852,191.709,191.831,191.775,191.879,191.735,191.855
2024-04-08T11:00:00Z,191.832,191.848,191.68,191.697,191.858,191.877,191.704,191.723
2024-04-08T12:00:00Z,191.696,191.771,191.612,191.756,191.724,191.8,191.64,191.786
2024-04-08T13:00:00Z,191.757,191.979,191.756,191.878,191.786,192.004,191.786,191.905
2024-04-08T14:00:00Z,191.877,192.073,191.811,191.982,191.907,192.098,191.838,192.008
2024-04-08T15:00:00Z,191.985,192.129,191.907,192.047,192.009,192.156,191.933,192.075
2024-04-08T16:00:00Z,192.048,192.048,191.95,192.035,192.075,192.075,191.976,192.061
2024-04-08T17:00:00Z,192.035,192.172,191.978,192.121,192.063,192.201,192.005,192.15
2024-04-08T18:00:00Z,192.121,192.144,192.077,192.095,192.149,192.173,192.105,192.12
2024-04-08T19:00:00Z,192.096,192.149,192.063,192.132,192.12,192.179,192.089,192.161
2024-04-08T20:00:00Z,192.13,192.18,192.119,192.15,192.159,192.203,192.152,192.19
2024-04-08T21:00:00Z,191.943,192.136,191.922,192.083,192.329,192.329,192.133,192.14
2024-04-08T22:00:00Z,192.066,192.127,192.061,192.119,192.133,192.178,192.111,192.148
2024-04-08T23:00:00Z,192.121,192.214,192.119,192.177,192.149,192.242,192.147,192.203
2024-04-09T00:00:00Z,192.179,192.231,192.103,192.213,192.205,192.258,192.13,192.244
2024-04-09T01:00:00Z,192.213,192.263,192.166,192.197,192.243,192.289,192.194,192.222
2024-04-09T02:00:00Z,192.195,192.225,192.147,192.201,192.225,192.255,192.178,192.224
2024-04-09T03:00:00Z,192.202,192.21,192.139,192.156,192.222,192.239,192.166,192.183
2024-04-09T04:00:00Z,192.159,192.249,192.152,192.229,192.185,192.273,192.18,192.259
2024-04-09T05:00:00Z,192.229,192.283,192.217,192.247,192.26,192.31,192.244,192.274
2024-04-09T06:00:00Z,192.249,192.336,192.196,192.228,192.277,192.359,192.225,192.252
2024-04-09T07:00:00Z,192.225,192.268,192.125,192.201,192.25,192.292,192.151,192.229
2024-04-09T08:00:00Z,192.21,192.299,192.135,192.287,192.237,192.328,192.16,192.312
2024-04-09T09:00:00Z,192.287,192.537,192.15,192.523,192.314,192.565,192.178,192.549
2024-04-09T10:00:00Z,192.522,192.658,192.494,192.554,192.55,192.686,192.522,192.583
2024-04-09T11:00:00Z,192.552,192.598,192.44,192.513,192.583,192.625,192.465,192.543
2024-04-09T12:00:00Z,192.514,192.774,192.477,192.687,192.54,192.798,192.505,192.715
2024-04-09T13:00:00Z,192.68,192.843,192.619,192.695,192.708,192.869,192.645,192.722
2024-04-09T14:00:00Z,192.692,192.705,192.165,192.201,192.72,192.735,192.193,192.229
2024-04-09T15:00:00Z,192.201,192.317,192.137,192.266,192.228,192.344,192.163,192.293
2024-04-09T16:00:00Z,192.267,192.301,192.125,192.146,192.293,192.331,192.155,192.175
2024-04-09T17:00:00Z,192.144,192.199,192.077,192.134,192.173,192.218,192.102,192.163
2024-04-09T18:00:00Z,192.132,192.264,192.12,192.247,192.163,192.293,192.149,192.276
2024-04-09T19:00:00Z,192.245,192.338,192.166,192.318,192.273,192.367,192.195,192.348
2024-04-09T20:00:00Z,192.32,192.408,192.319,192.39,192.348,192.444,192.348,192.436
2024-04-09T21:00:00Z,192.404,192.404,192.201,192.347,192.452,192.581,192.346,192.42
2024-04-09T22:00:00Z,192.347,192.401,192.328,192.351,192.415,192.448,192.365,192.384
2024-04-09T23:00:00Z,192.352,192.41,192.334,192.397,192.384,192.438,192.364,192.427
2024-04-10T00:00:00Z,192.396,192.403,192.257,192.299,192.428,192.435,192.289,192.322
2024-04-10T01:00:00Z,192.298,192.384,192.245,192.299,192.322,192.412,192.274,192.327
2024-04-10T02:00:00Z,192.299,192.381,192.261,192.371,192.318,192.409,192.29,192.401
2024-04-10T03:00:00Z,192.371,192.393,192.325,192.354,192.4,192.422,192.353,192.381
2024-04-10T04:00:00Z,192.353,192.415,192.313,192.409,192.381,192.442,192.341,192.439
2024-04-10T05:00:00Z,192.409,192.464,192.377,192.404,192.438,192.489,192.408,192.432
2024-04-10T06:00:00Z,192.404,192.512,192.348,192.475,192.433,192.537,192.373,192.5
2024-04-10T07:00:00Z,192.476,192.663,192.424,192.653,192.503,192.689,192.453,192.683
2024-04-10T08:00:00Z,192.654,192.759,192.574,192.758,192.683,192.784,192.602,192.782
2024-04-10T09:00:00Z,192.756,192.8,192.677,192.795,192.783,192.828,192.697,192.824
2024-04-10T10:00:00Z,192.793,192.88,192.764,192.808,192.822,192.906,192.791,192.835
2024-04-10T11:00:00Z,192.804,192.836,192.707,192.737,192.834,192.862,192.733,192.76
2024-04-10T12:00:00Z,192.737,192.937,191.563,192.172,192.759,193.146,191.599,192.201
2024-04-10T13:00:00Z,192.171,192.18,191.787,191.819,192.201,192.21,191.812,191.848
2024-04-10T14:00:00Z,191.821,192.094,191.769,191.958,191.849,192.123,191.798,191.986
2024-04-10T15:00:00Z,191.958,191.966,191.672,191.764,191.982,191.993,191.698,191.79
2024-04-10T16:00:00Z,191.764,191.789,191.459,191.68,191.792,191.817,191.487,191.705
2024-04-10T17:00:00Z,191.681,191.853,191.462,191.68,191.705,191.878,191.494,191.752
2024-04-10T18:00:00Z,191.657,191.772,191.579,191.605,191.752,191.801,191.606,191.635
