time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,1.26226,1.26323,1.26226,1.26268,1.26349,1.2638,1.2633,1.26337
2024-04-07T22:00:00Z,1.26286,1.26338,1.262,1.26212,1.26344,1.26373,1.26218,1.26229
2024-04-07T23:00:00Z,1.26208,1.26265,1.26205,1.26231,1.26225,1.26284,1.26221,1.26249
2024-04-08T00:00:00Z,1.26232,1.26232,1.26139,1.26155,1.26249,1.2625,1.26158,1.26172
2024-04-08T01:00:00Z,1.26153,1.26283,1.26151,1.26267,1.2617,1.26298,1.26169,1.26284
2024-04-08T02:00:00Z,1.26269,1.26388,1.26257,1.26368,1.26285,1.26407,1.26275,1.26386
2024-04-08T03:00:00Z,1.26368,1.26388,1.26274,1.26296,1.26385,1.26407,1.26291,1.26313
2024-04-08T04:00:00Z,1.26297,1.26318,1.26269,1.26283,1.26315,1.26336,1.26287,1.26302
2024-04-08T05:00:00Z,1.26285,1.26336,1.26272,1.26294,1.26303,1.26354,1.2629,1.26312
2024-04-08T06:00:00Z,1.26295,1.2634,1.26236,1.2631,1.26312,1.26358,1.26252,1.26327
2024-04-08T07:00:00Z,1.2631,1.26312,1.26202,1.26263,1.26329,1.2633,1.26219,1.26282
2024-04-08T08:00:00Z,1.26263,1.26316,1.26179,1.26211,1.26281,1.26335,1.26195,1.26226
2024-04-08T09:00:00Z,1.26209,1.26279,1.26147,1.26256,1.26224,1.26295,1.26165,1.26273
2024-04-08T10:00:00Z,1.26255,1.26356,1.26226,1.26328,1.26271,1.26374,1.26243,1.26344
2024-04-08T11:00:00Z,1.26329,1.26331,1.26175,1.26184,1.26346,1.26348,1.2619,1.26202
2024-04-08T12:00:00Z,1.26182,1.26277,1.26126,1.26255,1.26199,1.26293,1.26144,1.26273
2024-04-08T13:00:00Z,1.26257,1.26491,1.26257,1.26451,1.26276,1.26507,1.26276,1.2647
2024-04-08T14:00:00Z,1.26453,1.26509,1.26346,1.26459,1.26469,1.26525,1.26362,1.26475
2024-04-08T15:00:00Z,1.26458,1.26553,1.26415,1.26525,1.26475,1.26569,1.26433,1.26541
2024-04-08T16:00:00Z,1.26526,1.26526,1.26426,1.26476,1.26541,1.26541,1.26441,1.26492
2024-04-08T17:00:00Z,1.26478,1.26623,1.26463,1.26585,1.26494,1.26639,1.2648,1.26602
2024-04-08T18:00:00Z,1.26586,1.26634,1.26544,1.26567,1.26602,1.26649,1.26561,1.26582
2024-04-08T19:00:00Z,1.26567,1.26587,1.2653,1.26539,1.26583,1.26604,1.26547,1.26557
2024-04-08T20:00:00Z,1.26541,1.26553,1.2652,1.2654,1.26558,1.2657,1.26537,1.26559
2024-04-08T21:00:00Z,1.26455,1.26547,1.26415,1.26516,1.2662,1.26637,1.2654,1.26551
2024-04-08T22:00:00Z,1.26516,1.26562,1.26515,1.26556,1.26551,1.26582,1.26549,1.26577
2024-04-08T23:00:00Z,1.26556,1.2659,1.26553,1.26571,1.26574,1.26607,1.26573,1.26586
2024-04-09T00:00:00Z,1.26567,1.26585,1.26524,1.26531,1.26582,1.26602,1.26541,1.26549
2024-04-09T01:00:00Z,1.26531,1.26584,1.26514,1.26536,1.2655,1.26601,1.26532,1.26555
2024-04-09T02:00:00Z,1.26537,1.2661,1.26523,1.26548,1.26555,1.26627,1.2654,1.26567
