time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,91.052,91.098,90.94,91.077,91.252,91.257,91.125,91.145
2024-04-07T22:00:00Z,91.064,91.133,91.027,91.106,91.128,91.186,91.07,91.133
2024-04-07T23:00:00Z,91.105,91.151,91.042,91.058,91.131,91.177,91.069,91.082
2024-04-08T00:00:00Z,91.056,91.14,90.999,91.096,91.081,91.165,91.023,91.121
2024-04-08T01:00:00Z,91.094,91.213,91.087,91.207,91.12,91.239,91.111,91.232
2024-04-08T02:00:00Z,91.21,91.303,91.178,91.296,91.236,91.327,91.202,91.322
2024-04-08T03:00:00Z,91.295,91.31,91.105,91.171,91.32,91.337,91.131,91.195
2024-04-08T04:00:00Z,91.172,91.262,91.151,91.262,91.197,91.286,91.178,91.286
2024-04-08T05:00:00Z,91.262,91.321,91.249,91.275,91.291,91.347,91.275,91.295
2024-04-08T06:00:00Z,91.268,91.314,91.232,91.28,91.295,91.34,91.257,91.306
2024-04-08T07:00:00Z,91.282,91.349,91.243,91.324,91.306,91.374,91.265,91.349
2024-04-08T08:00:00Z,91.324,91.342,91.244,91.318,91.347,91.369,91.27,91.342
2024-04-08T09:00:00Z,91.319,91.421,91.297,91.413,91.342,91.44,91.322,91.437
2024-04-08T10:00:00Z,91.412,91.526,91.396,91.511,91.434,91.549,91.421,91.534
2024-04-08T11:00:00Z,91.514,91.528,91.429,91.435,91.536,91.552,91.454,91.459
2024-04-08T12:00:00Z,91.436,91.467,91.371,91.458,91.459,91.494,91.394,91.483
2024-04-08T13:00:00Z,91.46,91.632,91.46,91.588,91.486,91.654,91.485,91.606
2024-04-08T14:00:00Z,91.586,91.586,91.469,91.553,91.606,91.61,91.493,91.578
2024-04-08T15:00:00Z,91.553,91.578,91.502,91.507,91.577,91.604,91.524,91.531
2024-04-08T16:00:00Z,91.506,91.537,91.486,91.533,91.532,91.561,91.509,91.556
2024-04-08T17:00:00Z,91.533,91.589,91.507,91.555,91.557,91.614,91.529,91.579
2024-04-08T18:00:00Z,91.559,91.568,91.532,91.546,91.582,91.592,91.554,91.572
2024-04-08T19:00:00Z,91.546,91.587,91.53,91.571,91.572,91.61,91.553,91.592
2024-04-08T20:00:00Z,91.571,91.617,91.556,91.564,91.593,91.642,91.582,91.597
2024-04-08T21:00:00Z,91.514,91.588,91.511,91.546,91.649,91.67,91.591,91.601
