time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2024-04-07T21:00:00Z,151.575,151.587,151.54,151.579,151.675,151.675,151.614,151.652
2024-04-07T22:00:00Z,151.579,151.721,151.572,151.686,151.654,151.751,151.634,151.707
2024-04-07T23:00:00Z,151.687,151.69,151.64,151.674,151.707,151.707,151.656,151.691
2024-04-08T00:00:00Z,151.674,151.774,151.665,151.708,151.692,151.788,151.681,151.721
2024-04-08T01:00:00Z,151.708,151.811,151.671,151.772,151.723,151.824,151.686,151.788
2024-04-08T02:00:00Z,151.772,151.775,151.675,151.764,151.787,151.79,151.693,151.78
2024-04-08T03:00:00Z,151.764,151.782,151.741,151.765,151.781,151.797,151.755,151.778
2024-04-08T04:00:00Z,151.765,151.791,151.761,151.789,151.779,151.805,151.774,151.803
2024-04-08T05:00:00Z,151.789,151.8,151.748,151.784,151.802,151.816,151.762,151.797
2024-04-08T06:00:00Z,151.783,151.827,151.747,151.751,151.797,151.842,151.763,151.768
2024-04-08T07:00:00Z,151.751,151.87,151.751,151.862,151.766,151.884,151.764,151.878
2024-04-08T08:00:00Z,151.862,151.907,151.834,151.901,151.879,151.922,151.851,151.916
2024-04-08T09:00:00Z,151.901,151.914,151.856,151.867,151.917,151.929,151.872,151.881
2024-04-08T10:00:00Z,151.868,151.883,151.82,151.848,151.881,151.899,151.835,151.861
2024-04-08T11:00:00Z,151.848,151.916,151.843,151.911,151.864,151.932,151.857,151.927
2024-04-08T12:00:00Z,151.91,151.938,151.846,151.872,151.927,151.952,151.862,151.888
2024-04-08T13:00:00Z,151.873,151.873,151.713,151.733,151.887,151.887,151.728,151.747
2024-04-08T14:00:00Z,151.732,151.838,151.724,151.808,151.747,151.853,151.74,151.821
2024-04-08T15:00:00Z,151.807,151.847,151.766,151.781,151.82,151.861,151.781,151.795
2024-04-08T16:00:00Z,151.782,151.839,151.777,151.828,151.795,151.855,151.791,151.843
2024-04-08T17:00:00Z,151.827,151.827,151.735,151.767,151.841,151.844,151.749,151.78
2024-04-08T18:00:00Z,151.766,151.79,151.713,151.765,151.779,151.805,151.727,151.781
2024-04-08T19:00:00Z,151.766,151.831,151.74,151.828,151.781,151.846,151.756,151.844
2024-04-08T20:00:00Z,151.828,151.855,151.825,151.839,151.842,151.869,151.841,151.865
2024-04-08T21:00:00Z,151.783,151.833,151.773,151.808,151.878,151.878,151.817,151.841
2024-04-08T22:00:00Z,151.805,151.811,151.768,151.798,151.827,151.84,151.786,151.816
2024-04-08T23:00:00Z,151.801,151.847,151.801,151.826,151.815,151.864,151.815,151.842
2024-04-09T00:00:00Z,151.825,151.913,151.782,151.902,151.842,151.928,151.799,151.918
2024-04-09T01:00:00Z,151.902,151.909,151.851,151.882,151.919,151.924,151.867,151.899
2024-04-09T02:00:00Z,151.886,151.888,151.807,151.87,151.904,151.904,151.823,151.883
2024-04-09T03:00:00Z,151.869,151.875,151.836,151.85,151.883,151.892,151.85,151.864
2024-04-09T04:00:00Z,151.851,151.887,151.843,151.885,151.864,151.904,151.858,151.899
2024-04-09T05:00:00Z,151.885,151.896,151.862,151.886,151.901,151.911,151.878,151.901
2024-04-09T06:00:00Z,151.888,151.913,151.866,151.909,151.903,151.929,151.881,151.923
2024-04-09T07:00:00Z,151.91,151.93,151.875,151.897,151.923,151.944,151.89,151.913
2024-04-09T08:00:00Z,151.897,151.907,151.856,151.881,151.911,151.922,151.871,151.897
2024-04-09T09:00:00Z,151.881,151.891,151.719,151.833,151.896,151.906,151.737,151.849
2024-04-09T10:00:00Z,151.833,151.834,151.755,151.789,151.851,151.851,151.772,151.807
2024-04-09T11:00:00Z,151.79,151.841,151.767,151.823,151.807,151.856,151.783,151.836
2024-04-09T12:00:00Z,151.823,151.839,151.735,151.763,151.838,151.855,151.752,151.779
2024-04-09T13:00:00Z,151.761,151.783,151.699,151.764,151.779,151.798,151.715,151.778
2024-04-09T14:00:00Z,151.763,151.763,151.565,151.647,151.778,151.778,151.579,151.661
2024-04-09T15:00:00Z,151.646,151.73,151.627,151.724,151.663,151.746,151.641,151.74
2024-04-09T16:00:00Z,151.722,151.741,151.648,151.662,151.739,151.756,151.665,151.678
2024-04-09T17:00:00Z,151.661,151.72,151.65,151.686,151.678,151.733,151.665,151.7
2024-04-09T18:00:00Z,151.685,151.738,151.682,151.733,151.7,151.751,151.697,151.749
2024-04-09T19:00:00Z,151.732,151.782,151.726,151.73,151.749,151.798,151.741,151.747
2024-04-09T20:00:00Z,151.734,151.772,151.725,151.771,151.751,151.791,151.742,151.791
2024-04-09T21:00:00Z,151.741,151.761,151.727,151.742,151.793,151.81,151.759,151.778
2024-04-09T22:00:00Z,151.742,151.778,151.727,151.744,151.771,151.795,151.744,151.764
2024-04-09T23:00:00Z,151.746,151.782,151.732,151.771,151.765,151.798,151.751,151.788
2024-04-10T00:00:00Z,151.769,151.776,151.674,151.716,151.788,151.794,151.691,151.733
2024-04-10T01:00:00Z,151.716,151.776,151.705,151.716,151.732,151.793,151.72,151.733
2024-04-10T02:00:00Z,151.726,151.759,151.691,151.749,151.741,151.774,151.706,151.767
2024-04-10T03:00:00Z,151.751,151.764,151.728,151.746,151.768,151.779,151.744,151.763
2024-04-10T04:00:00Z,151.745,151.782,151.737,151.776,151.763,151.798,151.754,151.792
2024-04-10T05:00:00Z,151.775,151.816,151.772,151.803,151.792,151.829,151.788,151.82
2024-04-10T06:00:00Z,151.802,151.809,151.766,151.773,151.82,151.826,151.783,151.79
2024-04-10T07:00:00Z,151.774,151.837,151.772,151.835,151.79,151.851,151.79,151.85
2024-04-10T08:00:00Z,151.835,151.879,151.821,151.846,151.849,151.894,151.835,151.861
2024-04-10T09:00:00Z,151.847,151.868,151.829,151.853,151.861,151.883,151.843,151.868
2024-04-10T10:00:00Z,151.853,151.865,151.802,151.827,151.869,151.879,151.817,151.843
2024-04-10T11:00:00Z,151.827,151.848,151.811,151.835,151.844,151.864,151.825,151.852
2024-04-10T12:00:00Z,151.834,152.515,151.767,152.379,151.852,152.528,151.78,152.393
2024-04-10T13:00:00Z,152.378,152.691,152.36,152.666,152.393,152.707,152.379,152.68
2024-04-10T14:00:00Z,152.666,152.774,152.571,152.765,152.679,152.788,152.587,152.78
2024-04-10T15:00:00Z,152.765,152.937,152.738,152.897,152.781,152.952,152.754,152.914
2024-04-10T16:00:00Z,152.899,152.961,152.87,152.929,152.914,152.977,152.886,152.942
2024-04-10T17:00:00Z,152.934,152.977,152.634,152.759,152.947,152.993,152.652,152.789
2024-04-10T18:00:00Z,152.777,152.975,152.75,152.955,152.794,152.989,152.767,152.969
2024-04-10T19:00:00Z,152.955,152.963,152.913,152.954,152.97,152.979,152.928,152.968
2024-04-10T20:00:00Z,152.956,153.232,152.938,153.133,152.969,153.246,152.953,153.157
2024-04-10T21:00:00Z,153.107,153.129,152.919,152.984,153.178,153.178,152.962,153.018
2024-04-10T22:00:00Z,152.996,153.005,152.894,152.908,153.025,153.053,152.907,152.926
2024-04-10T23:00:00Z,152.909,152.964,152.803,152.946,152.926,152.981,152.819,152.961
2024-04-11T00:00:00Z,152.946,153.001,152.793,152.828,152.963,153.017,152.809,152.847
2024-04-11T01:00:00Z,152.828,152.892,152.75,152.802,152.846,152.911,152.767,152.816
2024-04-11T02:00:00Z,152.802,152.854,152.775,152.82,152.817,152.867,152.791,152.834
2024-04-11T03:00:00Z,152.818,152.943,152.805,152.941,152.833,152.958,152.82,152.954
2024-04-11T04:00:00Z,152.941,152.965,152.858,152.887,152.957,152.981,152.874,152.904
2024-04-11T05:00:00Z,152.886,152.966,152.879,152.961,152.902,152.983,152.893,152.979
2024-04-11T06:00:00Z,152.963,153.183,152.953,153.157,152.979,153.198,152.968,153.174
2024-04-11T07:00:00Z,153.157,153.202,153.075,153.125,153.172,153.216,153.093,153.141
2024-04-11T08:00:00Z,153.127,153.284,153.092,153.234,153.142,153.3,153.109,153.25
2024-04-11T09:00:00Z,153.236,153.272,153.146,153.16,153.25,153.289,153.162,153.177
2024-04-11T10:00:00Z,153.161,153.165,153.044,153.068,153.177,153.181,153.061,153.085
2024-04-11T11:00:00Z,153.068,153.183,153.015,153.08,153.086,153.199,153.031,153.097
2024-04-11T12:00:00Z,153.079,153.235,152.789,152.836,153.094,153.259,152.804,152.853
2024-04-11T13:00:00Z,152.839,153.137,152.828,153.127,152.855,153.151,152.843,153.142
2024-04-11T14:00:00Z,153.131,153.291,153.129,153.265,153.144,153.307,153.143,153.281
2024-04-11T15:00:00Z,153.264,153.313,153.185,153.185,153.279,153.329,153.201,153.201
2024-04-11T16:00:00Z,153.184,153.298,153.172,153.229,153.201,153.313,153.189,153.242
2024-04-11T17:00:00Z,153.232,153.248,153.151,153.171,153.245,153.263,153.167,153.186
2024-04-11T18:00:00Z,153.171,153.24,153.083,153.238,153.185,153.257,153.098,153.253
2024-04-11T19:00:00Z,153.237,153.251,153.16,153.197,153.254,153.267,153.177,153.213
2024-04-11T20:00:00Z,153.194,153.279,153.19,153.266,153.208,153.3,153.206,153.288
2024-04-11T21:00:00Z,153.228,153.234,153.174,153.203,153.277,153.277,153.219,153.226
2024-04-11T22:00:00Z,153.203,153.23,153.161,153.22,153.231,153.247,153.182,153.238
2024-04-11T23:00:00Z,153.22,153.246,153.161,153.184,153.239,153.263,153.176,153.203
2024-04-12T00:00:00Z,153.186,153.295,152.957,152.963,153.204,153.312,152.973,152.98
2024-04-12T01:00:00Z,152.961,153.094,152.961,153.092,152.979,153.11,152.978,153.109
2024-04-12T02:00:00Z,153.093,153.178,153.042,153.17,153.108,153.194,153.056,153.187
2024-04-12T03:00:00Z,153.167,153.227,153.152,153.202,153.184,153.242,153.168,153.215
2024-04-12T04:00:00Z,153.201,153.266,153.169,153.231,153.215,153.28,153.184,153.247
2024-04-12T05:00:00Z,153.232,153.233,153.124,153.201,153.247,153.249,153.137,153.217
2024-04-12T06:00:00Z,153.202,153.282,153.194,153.269,153.219,153.299,153.208,153.286
2024-04-12T07:00:00Z,153.268,153.38,153.224,153.241,153.283,153.394,153.24,153.256
2024-04-12T08:00:00Z,153.239,153.301,153.2,153.301,153.255,153.318,153.214,153.317
2024-04-12T09:00:00Z,153.303,153.346,153.257,153.297,153.318,153.362,153.271,153.311
2024-04-12T10:00:00Z,153.296,153.346,153.262,153.263,153.309,153.362,153.277,153.28
2024-04-12T11:00:00Z,153.262,153.287,153.151,153.157,153.28,153.303,153.166,153.17
2024-04-12T12:00:00Z,153.155,153.179,152.787,152.846,153.173,153.196,152.802,152.863
2024-04-12T13:00:00Z,152.846,153.082,152.583,152.927,152.862,153.099,152.599,152.946
2024-04-12T14:00:00Z,152.932,153.009,152.723,152.921,152.946,153.025,152.741,152.934
2024-04-12T15:00:00Z,152.921,153.152,152.894,153.115,152.935,153.167,152.911,153.129
2024-04-12T16:00:00Z,153.114,153.145,153.043,153.097,153.13,153.162,153.057,153.115
2024-04-12T17:00:00Z,153.098,153.137,153.043,153.122,153.115,153.153,153.06,153.14
2024-04-12T18:00:00Z,153.124,153.212,153.113,153.208,153.141,153.227,153.13,153.224
2024-04-12T19:00:00Z,153.209,153.24,153.176,153.234,153.223,153.256,153.192,153.247
2024-04-12T20:00:00Z,153.232,153.323,153.205,153.287,153.245,153.341,153.221,153.336
2024-04-14T21:00:00Z,153.059,153.148,152.966,153.134,153.108,153.248,152.991,153.234
2024-04-14T22:00:00Z,153.144,153.285,153.097,153.274,153.244,153.306,153.15,153.294
2024-04-14T23:00:00Z,153.27,153.316,153.226,153.298,153.286,153.332,153.239,153.316
2024-04-15T00:00:00Z,153.293,153.457,153.272,153.457,153.31,153.473,153.286,153.472
2024-04-15T01:00:00Z,153.459,153.68,153.446,153.564,153.473,153.698,153.462,153.582
2024-04-15T02:00:00Z,153.556,153.737,153.524,153.704,153.574,153.753,153.542,153.72
2024-04-15T03:00:00Z,153.705,153.727,153.647,153.668,153.72,153.745,153.665,153.684
2024-04-15T04:00:00Z,153.666,153.844,153.661,153.778,153.683,153.862,153.677,153.796
2024-04-15T05:00:00Z,153.777,153.847,153.768,153.817,153.794,153.862,153.786,153.835
2024-04-15T06:00:00Z,153.82,153.882,153.756,153.864,153.835,153.897,153.772,153.879
2024-04-15T07:00:00Z,153.865,153.962,153.864,153.9,153.881,153.977,153.88,153.915
2024-04-15T08:00:00Z,153.9,153.948,153.689,153.861,153.916,153.961,153.704,153.876
2024-04-15T09:00:00Z,153.861,153.888,153.753,153.868,153.877,153.904,153.768,153.883
2024-04-15T10:00:00Z,153.869,153.94,153.815,153.922,153.882,153.953,153.83,153.938
2024-04-15T11:00:00Z,153.924,153.934,153.857,153.907,153.939,153.949,153.872,153.923
2024-04-15T12:00:00Z,153.906,154.412,153.875,154.181,153.923,154.427,153.89,154.197
2024-04-15T13:00:00Z,154.182,154.417,154.104,154.352,154.199,154.432,154.122,154.369
2024-04-15T14:00:00Z,154.355,154.442,153.848,154.325,154.371,154.455,153.868,154.34
2024-04-15T15:00:00Z,154.325,154.34,154.191,154.249,154.341,154.353,154.207,154.266
2024-04-15T16:00:00Z,154.249,154.317,154.199,154.293,154.267,154.331,154.216,154.307
2024-04-15T17:00:00Z,154.294,154.294,154.107,154.166,154.307,154.307,154.124,154.184
2024-04-15T18:00:00Z,154.168,154.239,154.151,154.201,154.185,154.255,154.17,154.216
2024-04-15T19:00:00Z,154.203,154.226,154.168,154.219,154.217,154.244,154.183,154.235
2024-04-15T20:00:00Z,154.218,154.269,154.215,154.263,154.235,154.288,154.23,154.283
2024-04-15T21:00:00Z,154.237,154.244,154.173,154.214,154.293,154.293,154.226,154.251
2024-04-15T22:00:00Z,154.213,154.218,154.137,154.169,154.243,154.244,154.153,154.186
2024-04-15T23:00:00Z,154.169,154.235,154.139,154.205,154.185,154.252,154.155,154.221
2024-04-16T00:00:00Z,154.211,154.358,154.124,154.283,154.226,154.375,154.14,154.3
2024-04-16T01:00:00Z,154.284,154.381,154.247,154.355,154.3,154.398,154.263,154.373
2024-04-16T02:00:00Z,154.345,154.413,154.29,154.312,154.364,154.429,154.306,154.328
2024-04-16T03:00:00Z,154.31,154.369,154.308,154.345,154.327,154.382,154.325,154.362
2024-04-16T04:00:00Z,154.345,154.35,154.228,154.265,154.361,154.363,154.244,154.28
2024-04-16T05:00:00Z,154.264,154.353,154.256,154.342,154.281,154.368,154.269,154.355
2024-04-16T06:00:00Z,154.344,154.601,154.276,154.501,154.357,154.614,154.293,154.519
2024-04-16T07:00:00Z,154.502,154.515,154.363,154.385,154.519,154.531,154.378,154.399
2024-04-16T08:00:00Z,154.384,154.546,154.373,154.499,154.399,154.561,154.387,154.515
2024-04-16T09:00:00Z,154.495,154.561,154.465,154.556,154.51,154.576,154.483,154.571
2024-04-16T10:00:00Z,154.554,154.595,154.527,154.591,154.57,154.61,154.543,154.607
2024-04-16T11:00:00Z,154.591,154.7,154.578,154.613,154.606,154.717,154.594,154.627
2024-04-16T12:00:00Z,154.614,154.695,154.557,154.638,154.627,154.71,154.573,154.654
2024-04-16T13:00:00Z,154.637,154.763,153.89,154.562,154.654,154.777,153.908,154.577
2024-04-16T14:00:00Z,154.561,154.707,154.403,154.581,154.577,154.722,154.419,154.6
2024-04-16T15:00:00Z,154.582,154.63,154.458,154.565,154.6,154.645,154.472,154.582
2024-04-16T16:00:00Z,154.568,154.642,154.53,154.575,154.583,154.656,154.548,154.591
2024-04-16T17:00:00Z,154.576,154.782,154.571,154.694,154.589,154.797,154.587,154.708
2024-04-16T18:00:00Z,154.691,154.731,154.568,154.64,154.708,154.748,154.583,154.656
2024-04-16T19:00:00Z,154.643,154.693,154.617,154.624,154.657,154.707,154.633,154.64
2024-04-16T20:00:00Z,154.626,154.727,154.626,154.721,154.641,154.745,154.641,154.741
2024-04-16T21:00:00Z,154.688,154.691,154.633,154.649,154.719,154.738,154.663,154.69
2024-04-16T22:00:00Z,154.651,154.715,154.643,154.677,154.677,154.735,154.665,154.694
2024-04-16T23:00:00Z,154.674,154.717,154.644,154.69,154.693,154.733,154.663,154.706
2024-04-17T00:00:00Z,154.691,154.728,154.603,154.686,154.706,154.743,154.62,154.702
2024-04-17T01:00:00Z,154.688,154.71,154.606,154.678,154.702,154.727,154.622,154.692
2024-04-17T02:00:00Z,154.677,154.689,154.621,154.676,154.693,154.705,154.638,154.69
2024-04-17T03:00:00Z,154.675,154.678,154.595,154.641,154.691,154.691,154.609,154.659
2024-04-17T04:00:00Z,154.642,154.648,154.593,154.642,154.659,154.664,154.609,154.658
2024-04-17T05:00:00Z,154.641,154.673,154.598,154.613,154.659,154.687,154.614,154.628
2024-04-17T06:00:00Z,154.614,154.641,154.446,154.465,154.63,154.658,154.463,154.481
2024-04-17T07:00:00Z,154.466,154.629,154.465,154.603,154.481,154.645,154.48,154.619
